"","hospital_pk","collection_week","state","ccn","hospital_name","address","city","zip","hospital_subtype","fips_code","is_metro_micro","total_beds_7_day_avg","all_adult_hospital_beds_7_day_avg","all_adult_hospital_inpatient_beds_7_day_avg","inpatient_beds_used_7_day_avg","all_adult_hospital_inpatient_bed_occupied_7_day_avg","inpatient_beds_used_covid_7_day_avg","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg","total_adult_patients_hospitalized_confirmed_covid_7_day_avg","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg","total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg","inpatient_beds_7_day_avg","total_icu_beds_7_day_avg","total_staffed_adult_icu_beds_7_day_avg","icu_beds_used_7_day_avg","staffed_adult_icu_bed_occupancy_7_day_avg","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg","staffed_icu_adult_patients_confirmed_covid_7_day_avg","total_patients_hospitalized_confirmed_influenza_7_day_avg","icu_patients_confirmed_influenza_7_day_avg","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg","total_beds_7_day_sum","all_adult_hospital_beds_7_day_sum","all_adult_hospital_inpatient_beds_7_day_sum","inpatient_beds_used_7_day_sum","all_adult_hospital_inpatient_bed_occupied_7_day_sum","inpatient_beds_used_covid_7_day_sum","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum","total_adult_patients_hospitalized_confirmed_covid_7_day_sum","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum","total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum","inpatient_beds_7_day_sum","total_icu_beds_7_day_sum","total_staffed_adult_icu_beds_7_day_sum","icu_beds_used_7_day_sum","staffed_adult_icu_bed_occupancy_7_day_sum","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum","staffed_icu_adult_patients_confirmed_covid_7_day_sum","total_patients_hospitalized_confirmed_influenza_7_day_sum","icu_patients_confirmed_influenza_7_day_sum","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum","total_beds_7_day_coverage","all_adult_hospital_beds_7_day_coverage","all_adult_hospital_inpatient_beds_7_day_coverage","inpatient_beds_used_7_day_coverage","all_adult_hospital_inpatient_bed_occupied_7_day_coverage","inpatient_beds_used_covid_7_day_coverage","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage","total_adult_patients_hospitalized_confirmed_covid_7_day_coverage","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage","total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage","inpatient_beds_7_day_coverage","total_icu_beds_7_day_coverage","total_staffed_adult_icu_beds_7_day_coverage","icu_beds_used_7_day_coverage","staffed_adult_icu_bed_occupancy_7_day_coverage","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage","staffed_icu_adult_patients_confirmed_covid_7_day_coverage","total_patients_hospitalized_confirmed_influenza_7_day_coverage","icu_patients_confirmed_influenza_7_day_coverage","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage","previous_day_admission_adult_covid_confirmed_7_day_sum","previous_day_admission_adult_covid_confirmed_18.19_7_day_sum","previous_day_admission_adult_covid_confirmed_20.29_7_day_sum","previous_day_admission_adult_covid_confirmed_30.39_7_day_sum","previous_day_admission_adult_covid_confirmed_40.49_7_day_sum","previous_day_admission_adult_covid_confirmed_50.59_7_day_sum","previous_day_admission_adult_covid_confirmed_60.69_7_day_sum","previous_day_admission_adult_covid_confirmed_70.79_7_day_sum","previous_day_admission_adult_covid_confirmed_80._7_day_sum","previous_day_admission_adult_covid_confirmed_unknown_7_day_sum","previous_day_admission_pediatric_covid_confirmed_7_day_sum","previous_day_covid_ED_visits_7_day_sum","previous_day_admission_adult_covid_suspected_7_day_sum","previous_day_admission_adult_covid_suspected_18.19_7_day_sum","previous_day_admission_adult_covid_suspected_20.29_7_day_sum","previous_day_admission_adult_covid_suspected_30.39_7_day_sum","previous_day_admission_adult_covid_suspected_40.49_7_day_sum","previous_day_admission_adult_covid_suspected_50.59_7_day_sum","previous_day_admission_adult_covid_suspected_60.69_7_day_sum","previous_day_admission_adult_covid_suspected_70.79_7_day_sum","previous_day_admission_adult_covid_suspected_80._7_day_sum","previous_day_admission_adult_covid_suspected_unknown_7_day_sum","previous_day_admission_pediatric_covid_suspected_7_day_sum","previous_day_total_ED_visits_7_day_sum","previous_day_admission_influenza_confirmed_7_day_sum","geocoded_hospital_address","hhs_ids","previous_day_admission_adult_covid_confirmed_7_day_coverage","previous_day_admission_pediatric_covid_confirmed_7_day_coverage","previous_day_admission_adult_covid_suspected_7_day_coverage","previous_day_admission_pediatric_covid_suspected_7_day_coverage","previous_week_personnel_covid_vaccinated_doses_administered_7_day","total_personnel_covid_vaccinated_doses_none_7_day","total_personnel_covid_vaccinated_doses_one_7_day","total_personnel_covid_vaccinated_doses_all_7_day","previous_week_patients_covid_vaccinated_doses_one_7_day","previous_week_patients_covid_vaccinated_doses_all_7_day"
"1018","110229","2022/01/07","GA","110229","PIEDMONT NEWNAN HOSPITAL, INC","745 POPLAR ROAD","NEWNAN",30265,"Short Term",13077,"true",176,176,147.1,146,146,64.3,64,63.9,NA,NA,147.1,36,36,34.4,34.4,19.6,19.6,NA,NA,NA,1232,1232,1030,1022,1022,7,448,447,NA,NA,1030,252,252,241,241,137,137,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,79,0,0,NA,10,16,19,17,15,0,0,207,NA,0,0,0,0,NA,0,0,NA,0,0,1355,NA,"POINT (-84.754728 33.359371)","[C110229-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"1019","110104","2022/01/07","GA","110104","CRISP REGIONAL HOSPITAL","902 7TH STREET NORTH","CORDELE",31015,"Short Term",13081,"true",66,66,50.9,66.1,52.7,14.3,14.1,12.3,NA,NA,50.9,15,15,15,15,5.9,4.9,NA,NA,0,396,396,356,463,369,7,99,86,NA,NA,356,105,105,105,105,41,34,5,5,0,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,25,0,0,NA,NA,NA,9,NA,NA,0,NA,68,6,0,0,NA,0,NA,NA,NA,NA,0,0,395,0,"POINT (-83.782846 31.97749)","[C110104-A]",7,7,7,7,9,208,42,612,6,29
"1020","110132","2022/01/07","GA","110132","MEMORIAL HOSPITAL AND MANOR","1500 E SHOTWELL STREET","BAINBRIDGE",39819,"Short Term",13087,"true",42,42,31,24.3,21,6.3,6.3,6.3,0,0,31,6,6,NA,NA,NA,NA,0,0,0,294,294,217,170,147,7,44,44,0,0,217,42,42,15,15,13,13,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,19,0,0,0,NA,NA,NA,NA,NA,0,0,140,8,0,NA,0,NA,0,NA,4,0,0,0,369,0,"POINT (-84.55259 30.903823)","[C110132-A]",7,7,7,7,12,145,397,378,NA,NA
"1021","110226","2022/01/07","GA","110226","EMORY HILLANDALE HOSPITAL","2801 DEKALB MEDICAL PARKWAY","LITHONIA",30058,"Short Term",13089,"true",154,154,120,148,147,62.7,62.7,57,0,0,120,14,14,7,7,6.7,6.7,0,0,0,1078,1078,840,1036,1029,7,439,399,0,0,840,98,98,49,49,47,47,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,48,0,NA,NA,7,10,12,9,4,0,0,126,16,0,NA,NA,4,NA,NA,NA,NA,0,0,771,0,"POINT (-84.146924 33.705414)","[C110226-A]",7,7,7,7,NA,42,567,558,0,0
"1022","110010","2022/01/07","GA","110010","EMORY UNIVERSITY HOSPITAL","1364 CLIFTON ROAD, NE","ATLANTA",30322,"Short Term",13089,"true",718,718,680,607.4,607.4,130.7,130.7,125.3,0,0,680,155,155,135.6,135.6,29.3,29.1,0,0,0,5026,5026,4760,4252,4252,7,915,877,0,0,4760,1085,1085,949,949,205,204,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,143,0,8,12,16,31,32,26,18,0,0,389,0,0,0,0,0,0,0,0,0,0,0,929,0,"POINT (-84.320977 33.791881)","[C110010-C, C110010-A, C110010-B]",7,7,7,7,23,738,14038,13843,42,68
"1023","110076","2022/01/07","GA","110076","EMORY DECATUR HOSPITAL","2701 N DECATUR ROAD","DECATUR",30033,"Short Term",13089,"true",386,354,311,373,333.4,104.3,104.3,93.9,0,0,343,62,32,51.1,29.6,12.1,11.4,0,0,0,2702,2478,2177,2611,2334,7,730,657,0,0,2401,434,224,358,207,85,80,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,72,NA,5,12,8,8,17,13,7,0,0,218,43,0,NA,5,6,6,13,8,4,0,0,1001,0,"POINT (-84.282679 33.79216)","[C110076-A]",7,7,7,7,NA,147,2366,2344,0,0
"1024","112006","2022/01/07","GA","112006","EMORY LONG TERM ACUTE CARE","450 NORTH CANDLER STREET","DECATUR",30030,"Long Term",13089,"true",50,50,50,44.6,44.6,0,0,0,0,0,50,10,10,0,0,0,0,0,0,0,350,350,350,312,312,7,0,0,0,0,350,70,70,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (-84.292636 33.777185)","[C112006-A]",7,7,7,7,NA,11,188,184,0,0
"1025","113300","2022/01/07","GA","113300","CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON","1405 CLIFTON ROAD, NE","ATLANTA",30322,"Childrens Hospitals",13089,"true",388,0,0,0,0,68,0,0,68,53.1,331,129,0,108.6,0,0,0,0,0,0,2716,0,0,0,0,7,0,0,476,372,2317,903,0,760,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,54,268,0,0,0,0,0,0,0,0,0,0,104,1241,0,"POINT (-84.321007 33.79398)","[C113300-A]",7,7,7,7,0,0,0,0,0,0
"1026","110092","2022/01/07","GA","110092","DODGE COUNTY HOSPITAL","901 GRIFFIN AVE","EASTMAN",31023,"Short Term",13091,"false",34,44,34,28,26.1,7.3,7.3,7.3,0,0,24,6,6,NA,NA,NA,NA,0,0,0,238,308,238,196,183,7,51,51,0,0,168,42,42,25,25,17,17,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,0,0,NA,0,NA,NA,NA,0,0,15,0,0,0,0,0,0,0,0,0,0,0,146,0,"POINT (-83.178644 32.186076)","[C110092-A]",7,7,7,7,0,51,261,261,0,0
"1027","110007","2022/01/07","GA","110007","PHOEBE PUTNEY MEMORIAL HOSPITAL","417 THIRD AVENUE","ALBANY",31703,"Short Term",13095,"true",414.3,414.3,381.3,319.6,299,83,83,83,0,0,381.3,47.3,47.3,45.1,45.1,17,17,0,0,0,2900,2900,2669,2237,2093,7,581,581,0,0,2669,331,331,316,316,119,119,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,89,0,7,8,14,13,21,9,17,0,NA,422,0,0,0,0,0,0,0,0,0,0,0,1196,0,"POINT (-84.157497 31.590227)","[C110007-A, C110007-B]",7,7,7,7,0,0,0,0,0,0
"1028","110184","2022/01/07","GA","110184","WELLSTAR DOUGLAS HOSPITAL","8954 HOSPITAL DRIVE","DOUGLASVILLE",30134,"Short Term",13097,"true",126.9,126.9,115,114.6,114.6,84.9,84.4,57.9,NA,NA,115,22.7,22.7,22.7,22.7,17.6,14,0,0,0,888,888,805,802,802,7,591,405,NA,NA,805,159,159,159,159,123,98,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,67,0,NA,8,13,13,NA,12,16,0,0,390,41,0,NA,NA,NA,9,6,9,9,0,0,1028,0,"POINT (-84.733026 33.739104)","[C110184-A]",7,7,7,7,0,0,0,0,0,0
"1029","111314","2022/01/07","GA","111314","LIFEBRITE COMMUNITY HOSPITAL OF EARLY","11740 COLUMBIA STREET","BLAKELY",39823,"Critical Access Hospitals",13099,"false",19,7,8.7,6.7,5.6,NA,NA,NA,0,0,15,0,0,0,0,0,0,0,0,0,76,28,61,47,39,7,NA,NA,0,0,105,0,0,0,0,0,0,0,0,0,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,NA,0,0,0,0,0,0,NA,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,82,0,"POINT (-84.946054 31.37445)","[C111314-A]",7,7,7,7,NA,NA,148,146,NA,0
"1030","111306","2022/01/07","GA","111306","EFFINGHAM HEALTH SYSTEM","459 GA HIGHWAY 119 SOUTH","SPRINGFIELD",31329,"Critical Access Hospitals",13103,"true",40,40,25,17.1,11.4,NA,NA,NA,0,0,25,0,0,0,0,0,0,0,0,0,200,200,175,120,80,7,19,19,0,0,175,0,0,0,0,0,0,0,0,0,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,7,0,0,0,0,NA,NA,NA,NA,0,0,172,0,0,0,0,0,0,0,0,0,0,0,458,0,"POINT (-81.321889 32.364646)","[C111306-A]",7,7,7,7,0,60,44,392,0,0
"1031","111337","2022/01/07","GA","111337","ELBERT MEMORIAL HOSPITAL","4 MEDICAL DRIVE","ELBERTON",30635,"Critical Access Hospitals",13105,"false",30,7,0,17,17,NA,NA,NA,0,0,23,0,0,0,0,0,0,0,0,0,210,49,0,119,119,7,25,25,0,0,161,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,0,0,0,NA,0,NA,NA,5,0,0,33,0,0,0,0,0,0,0,0,0,0,0,183,0,"POINT (-82.875634 34.113105)","[C111337-A]",7,7,7,7,0,64,8,1170,NA,0
"1032","110109","2022/01/07","GA","110109","EMANUEL MEDICAL CENTER","117 KITE ROAD","SWAINSBORO",30401,"Short Term",13107,"false",24,24,24,13.1,12.9,7,7,7,0,0,24,6,6,5.1,5.1,4.3,4.3,NA,NA,NA,168,168,168,92,90,7,49,49,0,0,168,42,42,36,36,30,30,21,5,13,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,0,0,0,0,0,0,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,279,7,"POINT (-82.346477 32.59314)","[C110109-A]",7,7,7,7,312,97,NA,311,0,0
"1033","110142","2022/01/07","GA","110142","EVANS MEMORIAL HOSPITAL","200 N RIVER STREET","CLAXTON",30417,"Short Term",13109,"false",22,22,14,8.3,6.9,NA,NA,NA,0,0,14,0,0,0,0,0,0,0,0,0,154,154,98,58,48,7,13,13,0,0,98,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,0,0,0,NA,0,0,NA,NA,0,0,105,0,0,0,0,0,0,0,0,0,0,0,202,0,"POINT (-81.900402 32.164204)","[C110142-A]",7,7,7,7,5,30,17,149,0,5
"1034","110189","2022/01/07","GA","110189","FANNIN REGIONAL HOSPITAL","2855 OLD HIGHWAY 5 NORTH","BLUE RIDGE",30513,"Short Term",13111,"false",31.6,31.6,26.4,21,14.6,6.9,6.9,6.7,0,0,26.4,5,5,4.6,4.6,NA,NA,0,0,0,221,221,185,147,102,7,48,47,0,0,185,35,35,32,32,14,14,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,12,NA,0,0,0,0,NA,0,8,0,0,107,NA,0,0,0,0,0,NA,0,0,0,0,213,0,"POINT (-84.375603 34.917019)","[C110189-A]",7,7,7,7,0,167,10,173,0,0
"1035","110215","2022/01/07","GA","110215","PIEDMONT FAYETTE HOSPITAL","1255 HIGHWAY 54 WEST","FAYETTEVILLE",30214,"Short Term",13113,"true",302,302,244,186.9,186.9,91,90.7,90.7,NA,NA,244,44,44,43,43,26.3,26.3,NA,NA,NA,2114,2114,1708,1308,1308,7,635,635,NA,NA,1708,308,308,301,301,184,184,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,148,0,5,8,19,21,44,25,26,0,0,338,NA,0,0,0,NA,0,0,0,NA,0,0,1809,NA,"POINT (-84.506857 33.45101)","[C110215-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"1036","110054","2022/01/07","GA","110054","FLOYD MEDICAL CENTER","304 TURNER MCCALL BLVD P O BOX 233","ROME",30162,"Short Term",13115,"true",404.3,349.4,291.3,316,269.1,65.4,63.9,63.9,NA,NA,343.1,44,26,33,25.9,11.6,11.6,NA,0,0,2830,2446,2039,2212,1884,7,447,447,11,9,2402,308,182,231,181,81,81,NA,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,76,0,NA,4,10,12,17,23,7,0,7,446,0,0,0,0,0,0,0,0,0,0,NA,1229,0,"POINT (-85.179721 34.260454)","[C110054-A]",7,7,7,7,7,0,20,4506,0,0
"1037","110168","2022/01/07","GA","110168","ADVENTHEALTH REDMOND","501 REDMOND ROAD NW","ROME",30165,"Short Term",13115,"true",284,284,243,234.7,234.6,67.3,67.3,57.9,0,0,243,40,40,37.7,37.7,13.6,13,0,0,0,284,284,1701,1643,1642,7,471,405,0,0,1701,280,280,264,264,95,91,0,0,0,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,69,0,NA,NA,8,9,25,12,13,0,0,106,0,0,0,0,0,0,0,0,0,0,0,785,0,"POINT (-85.194131 34.278191)","[C110168-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"1038","110005","2022/01/07","GA","110005","NORTHSIDE HOSPITAL FORSYTH","1200 NORTHSIDE FORSYTH DRIVE","CUMMING",30041,"Short Term",13117,"true",333.8,333.8,305,252.6,252.3,110.7,109.9,109.9,NA,NA,305.3,28.9,28.9,25.3,25.3,10.6,10.6,NA,0,NA,1669,1669,2135,1768,1766,7,769,769,6,NA,2137,202,202,177,177,74,74,NA,0,NA,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,0,101,NA,NA,12,7,13,21,17,26,0,NA,283,0,0,0,0,0,0,0,0,0,0,NA,1080,NA,"POINT (-84.139307 34.178538)","[C110005-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"1039","110027","2022/01/07","GA","110027","ST MARY'S SACRED HEART HOSPITAL, INC","367 CLEAR CREEK PARKWAY","LAVONIA",30553,"Short Term",13119,"false",65,57,57,34.6,32.6,14.1,14.1,13.9,0,0,65,8,8,5.6,5.6,NA,NA,0,0,0,455,399,399,242,228,7,99,97,0,0,455,56,56,39,39,16,16,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,22,0,0,NA,0,7,NA,5,6,0,0,240,NA,NA,0,0,NA,0,0,0,0,0,0,493,0,"POINT (-83.130855 34.439485)","[C110027-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"1040","110079","2022/01/07","GA","110079","GRADY MEMORIAL HOSPITAL","80 JESSE HILL, JR DRIVE SE","ATLANTA",30303,"Short Term",13121,"true",771,708,620,784.1,620,271.9,267.9,260.7,4,NA,644,90,90,90,90,32.4,32.1,0,0,0,5397,4956,4340,5489,4340,7,1875,1825,28,14,4508,630,630,630,630,227,225,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,146,0,0,0,0,0,0,0,0,73,7,308,73,0,0,0,0,0,0,0,0,73,11,3113,0,"POINT (-84.38256 33.7522)","[C110079_C, C110079-D, C110079-A]",7,7,7,7,0,0,0,0,0,0
"1041","110161","2022/01/07","GA","110161","NORTHSIDE HOSPITAL","1000 JOHNSON FERRY ROAD, NE","ATLANTA",30342,"Short Term",13121,"true",424,424,375.9,292.4,292.3,159.4,156.9,156.4,NA,NA,376,48.1,48.1,40.3,40.3,15.1,15.1,NA,0,NA,2120,2120,2631,2047,2046,7,1098,1095,18,14,2632,337,337,282,282,106,106,NA,0,NA,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,0,199,4,58,48,17,11,20,17,24,0,NA,287,0,0,0,0,0,0,0,0,0,0,0,1276,NA,"POINT (-84.354756 33.907895)","[C110161-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"1042","110078","2022/01/07","GA","110078","EMORY UNIVERSITY HOSPITAL MIDTOWN","550 PEACHTREE STREET,  NE","ATLANTA",30308,"Short Term",13121,"true",588,475,417,443.9,440.1,162.9,162.9,148.9,0,0,530,114,66,63.7,62.7,18.6,18.3,0,0,0,4116,3325,2919,3107,3081,7,1140,1042,0,0,3710,798,462,446,439,130,128,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,141,0,15,12,19,26,34,23,12,0,0,393,0,0,0,0,0,0,0,0,0,0,0,1151,0,"POINT (-84.385209 33.769335)","[C110078-A]",7,7,7,7,5,260,3442,3358,0,0
"1043","113301","2022/01/07","GA","113301","CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE","1001 JOHNSON FERRY ROAD","ATLANTA",30342,"Childrens Hospitals",13121,"true",394,0,0,0,0,70.3,0,0,70.3,52,329,102,0,96.4,0,0,0,0,0,0,2758,0,0,0,0,7,0,0,492,364,2303,714,0,675,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,80,357,0,0,0,0,0,0,0,0,0,0,130,1665,0,"POINT (-84.354349 33.907901)","[C113301-A]",7,7,7,7,0,0,0,0,0,0
"1044","110115","2022/01/07","GA","110115","WELLSTAR ATLANTA MEDICAL CENTER","303 PARKWAY DRIVE, NE","ATLANTA",30312,"Short Term",13121,"true",289.6,287.6,261.4,263.4,261.4,134,133.4,100.3,NA,NA,263.4,58.9,58.6,56,56,29.4,23.9,0,0,0,2027,2013,1830,1844,1830,7,934,702,4,4,1844,412,410,392,392,206,167,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,90,NA,9,8,6,17,18,16,15,0,0,478,43,0,NA,4,NA,7,13,9,5,0,0,1719,0,"POINT (-84.374105 33.763001)","[C110115-A, C110115-B]",7,7,7,7,0,0,0,0,0,0
"1045","110082","2022/01/07","GA","110082","SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC","5665 PEACHTREE DUNWOODY ROAD","ATLANTA",30342,"Short Term",13121,"true",398,398,354,319.6,319.6,98.4,98.4,97.3,0,0,354,66,66,44,44,18.9,18.9,0,0,0,2786,2786,2478,2237,2237,7,689,681,0,0,2478,462,462,308,308,132,132,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,98,0,5,6,14,20,19,18,16,0,0,251,0,0,0,0,0,0,0,0,0,0,0,729,0,"POINT (-84.351834 33.908759)","[C110082-A]",7,7,7,7,6,129,2062,2044,0,0
"1046","110198","2022/01/07","GA","110198","WELLSTAR NORTH FULTON HOSPITAL","3000 HOSPITAL BOULEVARD","ROSWELL",30076,"Short Term",13121,"true",193.7,193.7,189.9,189.9,189.9,79,79,67.1,0,0,189.9,27.3,27.3,27.1,27.1,11.7,9.7,0,0,0,1356,1356,1329,1329,1329,7,553,470,0,0,1329,191,191,190,190,82,68,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,58,0,7,6,9,10,8,11,7,0,0,162,16,0,0,0,NA,NA,4,5,NA,0,0,641,0,"POINT (-84.320701 34.062418)","[C110198-A]",7,7,7,7,0,0,0,0,0,0
"1047","112004","2022/01/07","GA","112004","SELECT SPECIALTY HOSPITAL - MIDTOWN ATLANTA, LLC","705 JUNIPER STREET, NE","ATLANTA",30308,"Long Term",13121,"true",72,72,72,39.7,39.7,9.6,9.6,NA,0,0,72,0,0,0,0,0,0,0,0,0,288,504,504,278,278,7,67,11,0,0,504,0,0,0,0,0,0,0,0,0,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (-84.383124 33.774224)","[C112004-A]",7,7,7,7,0,NA,NA,NA,NA,NA
"1048","110083","2022/01/07","GA","110083","PIEDMONT HOSPITAL","1968 PEACHTREE RD NW","ATLANTA",30309,"Short Term",13121,"true",601,601,556,409.4,409.3,127,127,125.7,0,0,556,98,98,76.6,76.6,25.7,25.6,NA,NA,NA,4207,4207,3892,2866,2865,7,889,880,0,0,3892,686,686,536,536,180,179,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,131,0,NA,13,24,24,32,17,18,0,0,252,5,0,NA,0,0,NA,NA,NA,NA,0,0,1536,NA,"POINT (-84.393754 33.807478)","[C110083-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"1049","112003","2022/01/07","GA","112003","SHEPHERD CENTER","2020 PEACHTREE RD NW","ATLANTA",30309,"Long Term",13121,"true",152,152,152,116,116,7.7,7.7,7.7,0,0,152,10,10,5.1,5.1,0,0,0,0,0,1064,1064,1064,812,812,7,54,54,0,0,1064,70,70,36,36,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (-84.393887 33.806584)","[C112003-A]",7,7,7,7,NA,NA,NA,NA,NA,NA
"1050","110025","2022/01/07","GA","110025","SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS","2415 PARKWOOD DRIVE","BRUNSWICK",31520,"Short Term",13127,"true",240,240,242.9,234.6,234.6,35.4,35.4,35.4,0,0,242.9,36,33,8.9,8.9,9.3,9.3,0,0,0,720,720,1700,1642,1642,7,248,248,0,0,1700,252,231,62,62,65,65,0,0,0,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,14,0,0,0,0,0,0,0,0,14,0,288,14,0,0,0,0,0,0,0,0,14,0,1111,0,"POINT (-81.484664 31.173805)","[C110025-A]",7,7,7,7,3388,481,1594,1419,138,205
"1051","110023","2022/01/07","GA","110023","ADVENTHEALTH GORDON","1035 RED BUD ROAD","CALHOUN",30701,"Short Term",13129,"true",112,112,82,72,72,34.9,34.9,34.6,0,0,82,10,10,9.9,9.9,NA,NA,0,0,0,112,112,574,504,504,7,244,242,0,0,574,70,70,69,69,25,25,0,0,0,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,43,NA,NA,NA,5,6,14,7,6,0,0,190,NA,0,0,0,0,0,0,0,NA,0,0,763,0,"POINT (-84.925326 34.511877)","[C110023-A]",7,7,7,7,4,1235,39,1206,NA,0
"1052","110121","2022/01/07","GA","110121","GRADY GENERAL HOSPITAL","1155 5TH STREET, SE","CAIRO",39828,"Short Term",13131,"false",24,23,16,15.9,12.1,NA,NA,NA,0,0,17,4,4,NA,NA,0,0,0,0,0,168,161,112,111,85,7,13,7,0,0,119,28,28,NA,NA,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0,0,0,0,0,NA,0,0,0,0,129,5,0,0,0,0,0,NA,NA,NA,0,0,306,0,"POINT (-84.200443 30.863791)","[C110121-A]",7,7,7,7,0,0,0,0,0,0
